17GK.UK,MEGAFON A
D4OO.UK,DOWNING FOUR VCT
D4SA.UK,DOWNING FOUR VCT
D4SO.UK,DOWNING FOUR VCT
DAB.UK,DEXION ABSOLUTE
DABE.UK,DEXION ABSOLUTE
DABU.UK,DEXION ABSOLUTE
DAIP.UK,DAILY INTERNET
DAL.UK,DALATA HOTEL GROUP
DALR.UK,DALRADIAN RESOURCES
DAN.UK,DANIEL STEWART SECURITIES
DAT.UK,DATANG INT POW
DCC.UK,DCC
DCD.UK,DCD MEDIA
DCG.UK,DAIRY CREST GROUP
DCI.UK,DOLPHIN CAPITAL INVESTORS
DCP.UK,DIAMONDCORP
DC_.UK,DIXONS CARPHONE
DDD.UK,DDD GROUP
DDDD.UK,4D PHARMA
DDV1.UK,DOWNING ONE VCT
DEB.UK,DEBENHAMS
DEMG.UK,DELTEX MEDICAL GROUP
DFIB.UK,DAIRY FARM INT HOLDINGS
DFIJ.UK,DAIRY FARM INT HOLDINGS
DFS.UK,DFS FURNITURE
DFX.UK,DEFENX
DGB.UK,DIGITAL BARRIERS
DGE.UK,DIAGEO
DGED.UK,DIAGEO
DGO.UK,DRAGON OIL
DGS.UK,DIGITAL GLOBE SERVICES
DIA.UK,DIALIGHT
DIG.UK,DUNEDIN INCOME GROWTH INVESTMENT TRUST
DIGC.UK,GCP STUDENT LIVING
DIGS.UK,GCP STUDENT LIVING
DIL2.UK,DAMILLE INVESTMENTS II
DIS.UK,DISTIL
DIVI.UK,DIVERSE INCOME TRUST
DJAN.UK,DAEJAN HOLDINGS
DJI.UK,DJI HOLDINGS
DJUB.UK,BARCLAYS BANK
DKL.UK,DEKELOIL PUBLIC
DLAR.UK,DE LA RUE
DLG.UK,DIRECT LINE INSURANCE GROUP
DLN.UK,DERWENT LONDON
DMGT.UK,DAILY MAIL & GENERAL TRUST
DNA.UK,DORIC NIMROD AIR ONE
DNA2.UK,DORIC NIMROD AIR TWO
DNA3.UK,DORIC NIMROD AIR THREE
DNDL.UK,DUNEDIN SMALLER COMPANIES INVESTMENT TRUST
DNE.UK,DUNEDIN ENTERPRISE INVESTMENT TRUST
DNLM.UK,DUNELM GROUP
DO1A.UK,DOWNING FOUR VCT
DO1B.UK,DOWNING FOUR VCT
DO1C.UK,DOWNING FOUR VCT
DO1D.UK,DOWNING FOUR VCT
DO1O.UK,DOWNING FOUR VCT
DODS.UK,DODS
DOM.UK,DOMINO'S PIZZA GROUP
DOR.UK,DORIEMUS
DOTD.UK,DOTDIGITAL GROUP
DP2A.UK,DOWNING TWO VCT
DP2C.UK,DOWNING TWO VCT
DP2D.UK,DOWNING TWO VCT
DP2E.UK,DOWNING TWO VCT
DP2F.UK,DOWNING PLANNED EXIT VCT 2 PLC-F
DP2G.UK,DOWNING PLANNED EXIT VCT 2 PLC-F
